t,count
20,10
40,12
60,16
80,10
100,8
120,13
140,4
160,8
180,9
200,2
220,6
240,4
260,6
280,10
300,12
320,10
340,4
360,14
380,8
400,6
420,12
440,8
460,10
480,180
500,432
520,453
540,417
560,407
580,450
600,413
620,414
640,390
660,334
680,373
700,327
720,313
740,299
760,345
780,300
800,272
820,310
840,304
860,311
880,286
900,272
920,271
940,222
960,239
980,262
1000,220
1020,267
1040,244
1060,232
1080,260
1100,231
1120,261
1140,226
1160,198
1180,181
1200,211
1220,234
1240,200
1260,208
1280,237
1300,176
1320,174
1340,202
1360,183
1380,189
1400,174
1420,201
1440,184
1460,146
1480,174
1500,191
1520,218
1540,146
1560,140
1580,153
1600,162
1620,189
1640,189
1660,177
1680,151
1700,193
1720,175
1740,191
1760,185
1780,151
1800,153
1820,149
1840,171
1860,175
1880,168
1900,197
1920,178
1940,161
1960,174
1980,181
2000,172
2020,148
2040,158
2060,142
2080,167
2100,173
2120,164
2140,162
2160,130
2180,188
2200,170
2220,175
2240,137
2260,116
2280,173
2300,171
2320,151
2340,136
2360,158
2380,119
2400,158
2420,146
2440,171
2460,159
2480,144
2500,142
2520,156
2540,168
2560,163
2580,116
2600,154
2620,134
2640,151
2660,144
2680,168
2700,171
2720,146
2740,146
2760,156
2780,143
2800,143
2820,142
2840,155
2860,126
2880,148
2900,184
2920,143
2940,176
2960,147
2980,153
3000,179
3020,143
3040,125
3060,166
3080,164
3100,134
3120,123
3140,133
3160,125
3180,143
3200,116
3220,138
3240,147
3260,154
3280,136
3300,134
3320,172
3340,150
3360,162
3380,168
3400,138
3420,117
3440,170
3460,146
3480,159
3500,146
3520,152
3540,151
3560,153
3580,132
3600,138
3620,156
3640,182
3660,141
3680,139
3700,140
3720,175
3740,153
3760,165
3780,117
3800,160
3820,146
3840,140
3860,121
3880,166
3900,155
3920,133
3940,135
3960,143
3980,134
4000,143
4020,166
4040,148
4060,161
4080,138
4100,131
4120,161
4140,124
4160,138
4180,116
4200,136
4220,116
4240,133
4260,180
4280,130
4300,141
4320,178
4340,146
4360,160
4380,178
4400,140
4420,146
4440,155
4460,154
4480,148
4500,122
4520,133
4540,164
4560,117
4580,148
4600,129
4620,107
4640,133
4660,141
4680,153
4700,139
4720,129
4740,132
4760,132
4780,140
4800,164
4820,122
4840,128
4860,157
4880,175
4900,126
4920,137
4940,145
4960,145
4980,140
5000,131
5020,136
5040,140
5060,140
5080,147
5100,123
5120,119
5140,131
5160,122
5180,147
5200,132
5220,130
5240,141
5260,154
5280,149
5300,139
5320,174
5340,133
5360,148
5380,128
5400,124
5420,134
5440,156
5460,136
5480,155
5500,121
5520,155
5540,160
5560,160
5580,140
5600,147
5620,142
5640,129
5660,134
5680,170
5700,163
5720,137
5740,152
5760,154
5780,155
5800,161
5820,125
5840,154
5860,125
5880,151
5900,158
5920,162
5940,137
5960,123
5980,148
6000,130
6020,122
6040,124
6060,133
6080,137
6100,155
6120,137
6140,153
6160,128
6180,152
6200,131
6220,125
6240,165
6260,109
6280,151
6300,125
6320,112
6340,156
6360,147
6380,141
6400,122
6420,126
6440,150
6460,151
6480,156
6500,120
6520,137
6540,136
6560,153
6580,161
6600,145
6620,145
6640,150
6660,144
6680,120
6700,161
6720,126
6740,135
6760,128
6780,126
6800,142
6820,166
6840,138
6860,163
6880,150
6900,150
6920,152
6940,144
6960,162
6980,164
7000,140
7020,139
7040,151
7060,148
7080,164
7100,160
7120,131
7140,153
7160,147
7180,148
7200,148
7220,150
7240,132
7260,126
7280,148
7300,154
7320,123
7340,139
7360,140
7380,144
7400,121
7420,120
7440,133
7460,131
7480,164
7500,132
7520,131
7540,125
7560,132
7580,152
7600,118
7620,138
7640,109
7660,110
7680,125
7700,120
7720,144
7740,133
7760,124
7780,144
7800,133
7820,147
7840,124
7860,157
7880,159
7900,118
7920,125
7940,156
7960,157
7980,119
8000,129
8020,124
8040,144
8060,136
8080,143
8100,137
8120,119
8140,113
8160,124
8180,140
8200,128
8220,141
8240,142
8260,117
8280,130
8300,118
8320,139
8340,129
8360,125
8380,145
8400,138
8420,154
8440,139
8460,127
8480,139
8500,124
8520,160
8540,131
8560,142
8580,127
8600,116
8620,112
8640,113
8660,159
8680,166
8700,116
8720,142
8740,105
8760,145
8780,134
8800,129
8820,134
8840,139
8860,132
8880,143
8900,149
8920,112
8940,145
8960,121
8980,162
9000,136
9020,135
9040,124
9060,117
9080,134
9100,138
9120,145
9140,146
9160,148
9180,111
9200,148
9220,116
9240,140
9260,107
9280,137
9300,119
9320,95
9340,112
9360,124
9380,148
9400,123
9420,150
9440,140
9460,137
9480,130
9500,160
9520,135
9540,126
9560,141
9580,123
9600,113
9620,117
9640,126
9660,128
9680,143
9700,167
9720,144
9740,163
9760,148
9780,161
9800,129
9820,126
9840,172
9860,137
9880,120
9900,132
9920,103
9940,140
9960,140
9980,162
10000,129
10020,129
10040,121
10060,113
10080,127
10100,156
10120,123
10140,123
10160,142
10180,130
10200,142
10220,155
10240,161
10260,151
10280,106
10300,132
10320,103
10340,154
10360,133
10380,122
10400,144
10420,101
10440,164
10460,149
10480,108
10500,136
10520,167
10540,142
10560,136
10580,143
10600,121
10620,81
10640,104
10660,165
10680,113
10700,127
10720,140
10740,143
10760,121
10780,112
10800,142
10820,137
10840,129
10860,122
10880,145
10900,111
10920,116
10940,128
10960,144
10980,128
11000,135
11020,162
11040,102
11060,132
11080,90
11100,130
11120,134
11140,143
11160,105
11180,137
11200,123
11220,127
11240,136
11260,123
11280,152
11300,131
11320,119
11340,157
11360,116
11380,118
11400,126
11420,130
11440,141
11460,112
11480,135
11500,125
11520,115
11540,134
11560,115
11580,98
11600,108
11620,116
11640,131
11660,108
11680,140
11700,137
11720,132
11740,127
11760,118
11780,159
11800,127
11820,121
11840,133
11860,102
11880,118
11900,115
11920,141
11940,142
11960,128
11980,162
12000,152
12020,110
12040,132
12060,129
12080,123
12100,132
12120,128
12140,131
12160,153
12180,138
12200,122
12220,127
12240,143
12260,151
12280,133
12300,144
12320,150
12340,135
12360,135
12380,117
12400,160
12420,127
12440,110
12460,137
12480,112
12500,126
12520,121
12540,149
12560,128
12580,126
12600,126
12620,156
12640,117
12660,137
12680,128
12700,138
12720,155
12740,139
12760,129
12780,123
12800,91
12820,131
12840,86
12860,132
12880,115
12900,127
12920,121
12940,137
12960,110
12980,133
13000,141
13020,139
13040,112
13060,86
13080,149
13100,112
13120,114
13140,141
13160,153
13180,132
13200,137
13220,130
13240,116
13260,143
13280,130
13300,147
13320,141
13340,136
13360,123
13380,154
13400,123
13420,140
13440,101
13460,139
13480,108
13500,142
13520,144
13540,109
13560,132
13580,122
13600,121
13620,136
13640,144
13660,129
13680,116
13700,139
13720,155
13740,123
13760,111
13780,128
13800,116
13820,118
13840,111
13860,131
13880,138
13900,120
13920,116
13940,124
13960,114
13980,111
14000,136
14020,117
14040,114
14060,133
14080,118
14100,115
14120,117
14140,140
14160,126
14180,169
14200,113
14220,144
14240,102
14260,118
14280,137
14300,112
14320,117
14340,138
14360,123
14380,123
14400,162
14420,116
14440,86
14460,150
14480,122
14500,157
14520,113
14540,138
14560,153
14580,125
14600,110
14620,133
14640,156
14660,155
14680,127
14700,98
14720,102
14740,118
14760,106
14780,125
14800,147
14820,162
14840,144
14860,107
14880,125
14900,124
14920,119
14940,112
14960,131
14980,132
15000,130
15020,96
15040,119
15060,122
15080,125
15100,163
15120,121
15140,116
15160,96
15180,134
15200,94
15220,158
15240,130
15260,121
15280,121
15300,118
15320,94
15340,104
15360,148
15380,114
15400,117
15420,121
15440,96
15460,131
15480,132
15500,110
15520,119
15540,126
15560,138
15580,111
15600,107
15620,117
15640,125
15660,120
15680,128
15700,120
15720,115
15740,142
15760,122
15780,143
15800,146
15820,124
15840,110
15860,99
15880,98
15900,96
15920,112
15940,129
15960,114
15980,149
16000,111
16020,127
16040,133
16060,93
16080,111
16100,127
16120,131
16140,113
16160,125
16180,145
16200,143
16220,145
16240,132
16260,125
16280,117
16300,111
16320,146
16340,122
16360,115
16380,142
16400,127
16420,142
16440,119
16460,115
16480,85
16500,121
16520,108
16540,134
16560,127
16580,109
16600,99
16620,132
16640,163
16660,123
16680,114
16700,159
16720,135
16740,103
16760,110
16780,131
16800,130
16820,115
16840,127
16860,118
16880,120
16900,130
16920,111
16940,123
16960,114
16980,112
17000,132
17020,121
17040,119
17060,117
17080,127
17100,125
17120,124
17140,138
17160,109
17180,119
17200,116
17220,102
17240,133
17260,116
17280,138
17300,125
17320,127
17340,141
17360,116
17380,131
17400,126
17420,128
17440,128
17460,124
17480,124
17500,114
17520,95
17540,112
17560,123
17580,120
17600,130
17620,118
17640,125
17660,108
17680,111
17700,112
17720,127
17740,133
17760,122
17780,128
17800,151
17820,107
17840,126
17860,143
17880,107
17900,116
17920,117
17940,88
17960,120
17980,123
18000,111
18020,122
18040,125
18060,138
18080,111
18100,130
18120,100
18140,125
18160,144
18180,110
18200,104
18220,127
18240,125
18260,125
18280,141
18300,106
18320,103
18340,106
18360,117
18380,102
18400,110
18420,71
18440,119
18460,99
18480,125
18500,105
18520,125
18540,110
18560,129
18580,133
18600,101
18620,99
18640,141
18660,96
18680,121
18700,121
18720,98
18740,109
18760,96
18780,126
18800,130
18820,135
18840,141
18860,145
18880,139
18900,99
18920,125
18940,132
18960,136
18980,97
19000,119
19020,100
19040,133
19060,136
19080,146
19100,112
19120,107
19140,124
19160,123
19180,79
19200,111
19220,104
19240,104
19260,108
19280,104
19300,124
19320,107
19340,108
19360,128
19380,88
19400,93
19420,118
19440,115
19460,122
19480,106
19500,111
19520,121
19540,112
19560,92
19580,104
19600,94
19620,92
19640,117
19660,86
19680,96
19700,100
19720,78
19740,148
19760,110
19780,106
19800,128
19820,100
19840,116
19860,127
19880,99
19900,115
19920,107
19940,91
19960,99
19980,92
20000,118
20020,89
20040,105
20060,117
20080,136
20100,108
20120,108
20140,90
20160,128
20180,123
20200,129
20220,100
20240,119
20260,133
20280,116
20300,103
20320,109
20340,151
20360,104
20380,115
20400,118
20420,131
20440,159
20460,147
20480,130
20500,121
20520,100
20540,74
20560,97
20580,108
20600,79
20620,109
20640,104
20660,108
20680,108
20700,143
20720,119
20740,126
20760,142
20780,132
20800,94
20820,126
