t,count
0.5126666666666665,128
1.059166666666666,237
1.2049999999999992,269
1.4995000000000005,329
2.0110000000000015,425
2.5083333333333333,512
3.0083333333333333,602
3.5093333333333323,679
4.009333333333332,762
4.506666666666669,847
5.006000000000002,920
5.509166666666666,1002
6.008333333333334,1079
6.509333333333332,1148
7.006000000000002,1211
7.5089999999999995,1285
8.011000000000001,1349
8.510666666666669,1407
9.004999999999999,1474
9.514833333333335,1533
9.992166666666666,1588
10.507833333333334,1644
11.007666666666667,1699
11.5085,1743
12.005833333333335,1799
12.515333333333334,1858
13.009333333333336,1910
13.510333333333335,1970
14.01083333333333,2008
14.509166666666665,2041
15.01083333333333,2082
65.8495,5810
68.1995,5979
95.86616666666667,7834
97.88283333333334,7976
190.09949999999998,14057
195.06616666666665,14347
306.9495,21234
311.7828333333334,21536
913.5328333333333,51160
915.5328333333333,51216
1086.1828333333333,57932
1088.9995000000001,58030
1267.8661666666667,64412
1269.8661666666667,64479
1448.8661666666667,70341
1450.8661666666667,70397
1628.5995,75796
1631.4495,75872
1750.6328333333333,79222
1751.6328333333333,79248
